ts,symbol,mint,buy_dex,sell_dex,buy_price_usd,sell_price_usd,buy_liquidity_usd,sell_liquidity_usd,gross_spread_pct,total_fee_pct,net_spread_pct,profit_usd_on_20
2026-05-17T15:28:39.775984+00:00,POPCAT,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,raydium,meteora,0.05812,0.05853,3539952,100725,0.7054,0.45,0.2554,0.0511
2026-05-17T15:55:12.879089+00:00,SOL,So11111111111111111111111111111111111111112,orca,raydium,86.4,87.18,28421112,7628731,0.9028,0.55,0.3528,0.0706
2026-05-17T15:55:12.879089+00:00,SOL,So11111111111111111111111111111111111111112,meteora,raydium,86.31,87.18,5262541,7628731,1.008,0.45,0.558,0.1116
2026-05-17T16:27:37.098973+00:00,SOL,So11111111111111111111111111111111111111112,raydium,orca,86.16,86.52,7583777,28449032,0.4178,0.55,-0.1322,-0.0264
2026-05-17T16:27:37.098973+00:00,SOL,So11111111111111111111111111111111111111112,raydium,meteora,86.16,86.48,7583777,5270695,0.3714,0.45,-0.0786,-0.0157
2026-05-17T16:27:37.098973+00:00,SOL,So11111111111111111111111111111111111111112,meteora,orca,86.48,86.52,5270695,28449032,0.0463,0.5,-0.4537,-0.0907
2026-05-17T16:27:37.697756+00:00,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,orca,meteora,6.2e-06,6.22e-06,877977,420902,0.4035,0.5,-0.0965,-0.0193
2026-05-17T16:27:37.697756+00:00,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,orca,raydium,6.2e-06,6.21e-06,877977,180292,0.2744,0.55,-0.2756,-0.0551
2026-05-17T16:27:37.697756+00:00,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,raydium,meteora,6.21e-06,6.22e-06,180292,420902,0.1288,0.45,-0.3212,-0.0642
2026-05-17T16:27:38.273668+00:00,WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,raydium,orca,0.1974,0.1975,5048588,150533,0.0507,0.55,-0.4993,-0.0999
2026-05-17T16:27:38.848638+00:00,POPCAT,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,meteora,raydium,0.05853,0.05871,100725,3562418,0.3075,0.45,-0.1425,-0.0285
2026-05-17T16:27:40.059764+00:00,FARTCOIN,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,raydium,orca,0.1926,0.193,7540334,1436338,0.2077,0.55,-0.3423,-0.0685
2026-05-17T16:27:40.059764+00:00,FARTCOIN,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,raydium,meteora,0.1926,0.1927,7540334,242816,0.0519,0.45,-0.3981,-0.0796
2026-05-17T16:27:40.059764+00:00,FARTCOIN,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,meteora,orca,0.1927,0.193,242816,1436338,0.1557,0.5,-0.3443,-0.0689
